id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating,primary_genre,store_genres,publisher,developer,detected_technologies,store_asset_mod_time,review_percentage,players_right_now,24_hour_peak,all_time_peak,all_time_peak_date
63,Cultivation Story: Reincarnation,/app/1866880/,1/30/2023,1626,1392,104,1496,88.28,Indie (23),"Action (1) Adventure (25) Indie (23) RPG (3)",Chi Entertainment Corp.,Chi Entertainment Corp.,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,1/31/2023,93,157,162,1626,2/8/2023
64,Gorilla Tag,/app/1533390/,1/1/2023,1679,26120,2876,28996,88.26,Action (1),"Action (1) Casual (4)",Another Axiom,Another Axiom,Engine.Unity; SDK.OculusXRPlugin; SDK.OpenVR; SDK.Photon; SDK.UnityBurst,12/28/2022,90,"1154","1154",1679,4/3/2022
65,SpongeBob SquarePants: The Cosmic Shake,/app/1282150/,1/31/2023,1949,1203,88,1291,88.19,Action (1),Action (1),THQ Nordic,Purple Lamp,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Ansel; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2/10/2023,93,43,50,1949,1/31/2023
66,Can of Wormholes,/app/1295320/,3/24/2023,165,138,1,139,88.15,Indie (23),Indie (23),munted finger,munted finger,SDK.OpenAL,3/19/2023,99,49,49,165,3/25/2023
67,Love Love School Days,/app/1305300/,2/6/2023,277,316,13,329,88.01,Action (1),"Action (1) Adventure (25) Indie (23)",OTL GAME,OTL GAME,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,4/19/2022,96,21,35,277,2/6/2023
68,Die in the Dungeon PROLOGUE,/app/2214080/,1/12/2023,379,311,13,324,87.92,Indie (23),"Indie (23) RPG (3) Strategy (2)",DitD Team,DitD Team,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/19/2023,96,16,18,379,1/22/2023
69,Season,/app/695330/,1/31/2023,461,747,50,797,87.88,Adventure (25),"Adventure (25) Casual (4) Indie (23)",Scavengers Studio,Scavengers Studio,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_DLSS; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OculusXRPlugin; SDK.OpenXR; SDK.Vorbis; SDK.Wwise; SDK.XAudio2; SDK.iZotope,4/14/2023,93,24,24,461,2/1/2023
70,Halls of Torment Prelude,/app/2316660/,3/9/2023,1080,597,37,634,87.83,Action (1),"Action (1) Casual (4) Indie (23) RPG (3)",Chasing Carrots,Chasing Carrots,Engine.Godot,2/22/2023,94,129,151,1080,3/28/2023
71,挂机神话,/app/1863750/,4/7/2023,1142,1326,107,1433,87.76,Indie (23),"Casual (4) Indie (23) RPG (3) Strategy (2)",摸鱼猫工作室,摸鱼猫工作室,Engine.Unity,4/7/2023,92,480,534,1142,5/19/2022
72,Demons Roots,/app/1933660/,1/14/2023,612,575,36,611,87.72,Indie (23),"Adventure (25) Indie (23) RPG (3)",Kagura Games,Quick nail Aristocrat,Engine.RPGMaker; SDK.NWJS; SDK.NodeJS; SDK.Vorbis,3/9/2023,93,54,60,612,1/16/2023
73,24 Killers,/app/1668310/,3/9/2023,29,105,0,105,87.72,Adventure (25),"Adventure (25) Casual (4) Indie (23)",Happy Shabby Games,Happy Shabby Games,Engine.Adobe_AIR,3/9/2023,100,1,4,29,3/10/2023
74,Demonologist,/app/1929610/,3/27/2023,8806,2737,259,2996,87.64,Adventure (25),"Action (1) Adventure (25) Indie (23) Early Access (70)",Clock Wizard Games,Clock Wizard Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_Nsight_Aftermath; SDK.Vivox; SDK.Vorbis; SDK.XAudio2,3/18/2023,91,"4463","7518",8806,4/9/2023
75,Mr. Saitou,/app/628740/,3/23/2023,61,214,7,221,87.62,Adventure (25),"Adventure (25) Indie (23) RPG (3)",Laura Shigihara,Laura Shigihara,nan,3/14/2023,96,1,6,61,3/23/2023
76,Aliens After Ava,/app/1995780/,1/13/2023,14,119,1,120,87.56,Action (1),"Action (1) Free to Play (37) Indie (23)",Alejandro Hervella,Alejandro Hervella,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,7/12/2022,99,0,2,14,1/22/2023
77,The Light Brigade,/app/1579880/,2/22/2023,156,445,26,471,87.51,Action (1),"Action (1) RPG (3) Strategy (2)",Funktronic Labs,Funktronic Labs,Engine.Unity; SDK.OpenXR; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3/3/2023,94,30,30,156,2/26/2023
78,SkyIsland,/app/2302640/,2/15/2023,216,478,29,507,87.49,Indie (23),"Action (1) Adventure (25) Casual (4) Free to Play (37) Indie (23)",Team.Olympus,Team.Olympus,Engine.Unity; SDK.FMOD; SDK.UnityBurst,2/12/2023,94,9,14,216,2/16/2023
79,HOPE LEFT ME,/app/2268470/,3/10/2023,14,150,3,153,87.49,Casual (4),"Casual (4) Indie (23)",.orphans,Astrophysics,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/12/2023,98,0,3,14,3/11/2023
80,Creepy Tale 3: Ingrid Penance,/app/1761780/,3/9/2023,121,165,4,169,87.48,Adventure (25),"Adventure (25) Indie (23)",Creepy Brothers,Creepy Brothers,Engine.Unity; SDK.FMOD; SDK.UnityURP; SDK.cURL,3/30/2023,97,22,27,121,3/11/2023
81,VOYAGER,/app/2119210/,3/25/2023,9,116,1,117,87.46,Adventure (25),"Adventure (25) Casual (4) Indie (23) Simulation (28)",Planetary Gears,Planetary Gears,Engine.GameMaker,3/6/2023,99,1,3,9,3/26/2023
82,Plasma,/app/1409160/,3/30/2023,358,161,4,165,87.36,Simulation (28),"Indie (23) Simulation (28) Early Access (70)",Dry Licorice,Dry Licorice,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,3/30/2023,96,60,67,358,3/30/2023
83,NOeSIS Ⅱ-人间无常,/app/1625230/,2/26/2023,17,113,1,114,87.35,RPG (3),"Casual (4) Free to Play (37) RPG (3)",Red × Balloon,Red × Balloon,Engine.NScripter,2/26/2023,99,1,3,17,3/4/2023
84,memories,/app/2219470/,2/3/2023,38,376,21,397,87.34,Indie (23),"Adventure (25) Casual (4) Free to Play (37) Indie (23) Simulation (28)",Spookulele Games,guiyyu,Engine.Unity; SDK.SteamworksNET; SDK.cURL,1/29/2023,94,2,7,38,2/4/2023
85,Pleh!,/app/2191550/,3/17/2023,124,315,16,331,87.3,Free to Play (37),"Adventure (25) Free to Play (37) Indie (23)",Jester Games,Jester Games,Engine.Unity; SDK.Discord; SDK.SteamworksNET; SDK.cURL,10/19/2022,94,7,11,124,3/25/2023
86,Sun Haven,/app/1432860/,3/11/2023,12706,5357,587,5944,87.19,Simulation (28),"Adventure (25) Casual (4) Indie (23) RPG (3) Simulation (28)",Pixel Sprout Studios,Pixel Sprout Studios,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,3/22/2023,90,"4651","4977",12706,3/19/2023
87,Atelier Ryza 3: Alchemist of the End & the Secret Key,/app/1999770/,3/24/2023,7162,717,54,771,87.19,RPG (3),"Adventure (25) Casual (4) RPG (3) Simulation (28)",KOEI TECMO GAMES CO. LTD.,KOEI TECMO GAMES CO. LTD.,nan,3/24/2023,93,"2029","2520",7162,3/26/2023
88,Above Snakes: Prologue,/app/2209150/,3/24/2023,3672,1116,95,1211,87.18,Simulation (28),"Adventure (25) RPG (3) Simulation (28)",Crytivo,Square Glade Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,3/24/2023,92,102,126,3672,3/27/2023
89,Metroplex Zero,/app/1412960/,3/31/2023,16,91,0,91,87.18,Strategy (2),"Strategy (2) Early Access (70)",Enigma Dragons LLC,Enigma Dragons LLC,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.cURL,4/3/2023,100,0,2,16,3/31/2023
90,SimRail - The Railway Simulator,/app/1422130/,1/13/2023,1914,1253,110,1363,87.16,Simulation (28),"Simulation (28) Early Access (70)",PlayWay S.A.,SimRail S.A.,Engine.Unity; SDK.NVIDIA_DLSS,1/13/2023,92,419,483,1914,1/13/2023
91,SpunkStock: Music Festival,/app/1863290/,1/26/2023,277,165,5,170,87.05,Action (1),"Action (1) Indie (23)",RegulusNSFW,RegulusNSFW,Engine.Unity; SDK.UnityURP; SDK.cURL,1/26/2023,96,4,14,277,1/27/2023
92,Farlanders,/app/1318740/,1/17/2023,251,313,17,330,87.03,Strategy (2),"Indie (23) Simulation (28) Strategy (2)",Crytivo,Andriy Bychkovskyi,Engine.Unity; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,1/17/2023,94,9,14,251,1/21/2023
93,Clash: Artifacts of Chaos,/app/1430680/,3/9/2023,148,306,17,323,86.89,Action (1),"Action (1) Adventure (25) Indie (23)",Nacon,ACE Team,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,3/9/2023,94,10,17,148,3/12/2023
94,Glory & Miserable Survivors DX,/app/2178330/,3/16/2023,776,390,26,416,86.63,Action (1),"Action (1) Casual (4) RPG (3)",Mango Party,TLACHTLI,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/16/2023,93,117,117,776,3/17/2023
95,Soundodger 2,/app/1400910/,4/10/2023,53,109,2,111,86.55,Action (1),"Action (1) Casual (4) Indie (23)",Studio Bean,Studio Bean,Engine.Unity; SDK.Discord; SDK.cURL,3/27/2023,98,11,24,53,10/11/2021
96,Caves of Lore,/app/2227130/,1/21/2023,103,148,5,153,86.47,RPG (3),"Indie (23) RPG (3) Strategy (2)",by Mike Robins,by Mike Robins,Engine.Unity; SDK.SteamworksNET,4/12/2023,96,10,11,103,1/29/2023
97,Lone Fungus,/app/1674780/,4/7/2023,214,194,9,203,86.38,Indie (23),"Action (1) Adventure (25) Indie (23)",Basti Games,Basti Games,Engine.ClickTeamFusion,4/5/2023,94,175,213,247,4/12/2023
98,Passpartout 2: The Lost Artist,/app/1571100/,4/4/2023,591,272,16,288,86.37,Indie (23),"Casual (4) Indie (23) Simulation (28)",Flamebait Games,Flamebait Games,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,4/4/2023,94,267,285,591,4/8/2023
99,A Bavarian Tale - Totgeschwiegen,/app/1694560/,2/2/2023,57,144,5,149,86.32,Adventure (25),"Adventure (25) RPG (3)",Active Fungus Studios,Active Fungus Studios,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.OpenVR; SDK.OpenXR; SDK.Vorbis; SDK.XAudio2,2/2/2023,96,7,7,57,2/5/2023
100,Coralina,/app/2246120/,1/6/2023,16,192,9,201,86.31,Indie (23),"Adventure (25) Casual (4) Indie (23) RPG (3)",ZNT Productions,Gabriel Maki,nan,1/30/2023,95,0,2,16,1/8/2023
101,King Of The Castle,/app/1839880/,3/2/2023,321,488,38,526,86.29,Casual (4),"Casual (4) Indie (23) Strategy (2)",Team17,Tributary Games,Engine.Unity; SDK.UnityURP; SDK.cURL,3/2/2023,93,24,89,321,3/5/2023
102,ZED ZONE,/app/1211600/,3/30/2023,2569,1332,135,1467,86.25,Indie (23),"Action (1) Indie (23) RPG (3) Simulation (28) Early Access (70)",INDIECN,Leven Liu,Engine.Unity; SDK.UnityBurst,3/29/2023,90,865,998,2569,3/31/2023
103,Omega Strikers,/app/1869590/,4/27/2023,19257,10006,1292,11298,86.24,Free to Play (37),"Action (1) Free to Play (37) Strategy (2)",Odyssey Interactive,Odyssey Interactive,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.Wwise; SDK.XAudio2,4/7/2023,88,10,39,19257,9/24/2022
104,BETON BRUTAL,/app/2330500/,3/31/2023,147,129,4,133,86.24,Indie (23),"Casual (4) Indie (23)",Jan Malitschek,Jan Malitschek,Engine.Unity; SDK.cURL,3/9/2023,94,64,98,147,4/6/2023
105,ENTROPOLY,/app/2226160/,3/2/2023,41,102,2,104,86.23,Action (1),Action (1),Wills Blackett,Wills Blackett,nan,3/3/2023,98,0,5,41,3/5/2023
106,ふりかけ☆スペイシー,/app/1764700/,3/1/2023,48,71,0,71,86.2,Indie (23),Indie (23),よんとんトマチン,よんとんトマチン,Engine.Unity; SDK.SteamworksNET; SDK.cURL,3/2/2023,98,3,8,48,3/2/2023
107,Cannibal Abduction,/app/2189640/,1/13/2023,25,138,5,143,86.09,Adventure (25),"Adventure (25) Indie (23)",selewi,Tomás Esconjaureguy,Engine.Unity; SDK.SteamworksNET; SDK.cURL,12/25/2022,95,0,3,25,1/19/2023
108,Graze Counter GM,/app/1486440/,1/18/2023,72,84,1,85,86.05,Action (1),"Action (1) Casual (4)",Henteko Doujin,Bikkuri Software,Engine.GameMaker,11/16/2022,98,1,7,72,1/19/2023
109,The Multi-Medium,/app/2077380/,1/20/2023,15,84,1,85,86.05,Indie (23),"Adventure (25) Casual (4) Indie (23)",Micah Boursier,Micah Boursier,Engine.Unity; SDK.SteamworksNET; SDK.UnityURP,1/16/2023,98,0,2,15,1/21/2023
110,Basements n' Basilisks: Storms of Sorcery,/app/2236860/,2/27/2023,20,98,2,100,86.04,Adventure (25),"Adventure (25) Casual (4) RPG (3) Simulation (28)",eNVy softworks,eNVy softworks,Engine.Unity,2/23/2023,98,0,2,20,2/27/2023
111,Partum Artifex,/app/2069760/,2/26/2023,17,83,1,84,86,Adventure (25),Adventure (25),DalaKoala Games,DalaKoala Games,Engine.Unreal; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_GeForce_Now; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,1/27/2023,98,0,4,17,2/27/2023
112,Plan B: Terraform,/app/1894430/,2/15/2023,2352,1072,108,1180,85.99,Early Access (70),"Indie (23) Simulation (28) Strategy (2) Early Access (70)",Gaddy Games,Gaddy Games,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.UnityURP; SDK.cURL,12/8/2022,90,168,172,2352,2/15/2023
113,Dreams in the Witch House,/app/1902850/,2/16/2023,42,123,4,127,85.98,Adventure (25),"Adventure (25) Indie (23) RPG (3)",Bonus Stage Publishing,Atom Brain Games,Engine.AdventureGameStudio; SDK.SDL,2/17/2023,96,3,7,42,2/19/2023
114,Planet Cube: Edge,/app/791200/,2/23/2023,14,97,2,99,85.98,Action (1),"Action (1) Adventure (25) Indie (23)",Firestoke,Sunna Entertainment,Engine.Unity; SDK.EpicOnlineServices; SDK.FMOD; SDK.SteamworksNET; SDK.UnityURP; SDK.cURL,2/4/2023,97,0,3,14,2/23/2023
115,The Pale Beyond,/app/1266030/,2/24/2023,738,731,68,799,85.94,Indie (23),"Adventure (25) Indie (23) RPG (3) Simulation (28) Strategy (2)",Fellow Traveller,Bellular Studios,Engine.Unity; SDK.FMOD; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,2/24/2023,91,27,32,738,2/25/2023
116,Kujlevka,/app/1365720/,4/6/2023,73,82,1,83,85.94,Adventure (25),Adventure (25),Crytivo,Callback,Engine.Unreal; SDK.EpicOnlineServices; SDK.Intel_OID; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,4/6/2023,98,16,28,73,4/8/2023
117,vivid/stasis,/app/2093940/,3/7/2023,53,109,3,112,85.92,Indie (23),"Indie (23) Early Access (70)",Hajimeli,Team Vividstasis,Engine.GameMaker,2/22/2023,97,13,26,53,3/8/2023
118,Aces and Adventures,/app/1815570/,2/23/2023,2455,879,87,966,85.82,RPG (3),"Adventure (25) RPG (3) Strategy (2)",Yogscast Games,Triple.B.Titles,Engine.Unity; SDK.NVIDIA_DLSS; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,2/23/2023,91,103,112,2455,2/28/2023
119,Tower Tactics: Liberation,/app/1709900/,2/6/2023,808,751,72,823,85.79,Strategy (2),"Indie (23) Strategy (2)",AsraWorks,AsraWorks,Engine.Godot,2/6/2023,91,77,85,808,2/12/2023
120,一起击碎吧,/app/2354650/,4/6/2023,28,62,0,62,85.63,Casual (4),"Casual (4) Free to Play (37) Racing (9) RPG (3) Strategy (2) Early Access (70)",JS-game,JS-game,SDK.CEF,3/11/2023,100,0,7,28,4/9/2023
121,Time Wasters,/app/1290330/,3/10/2023,934,695,67,762,85.62,Action (1),"Action (1) Casual (4) Indie (23) RPG (3) Early Access (70)",Proton Studio,Proton Studio,Engine.Unity; SDK.UnityBurst,4/6/2023,91,280,296,934,3/12/2023
122,Kandria,/app/1261430/,1/11/2023,26,90,2,92,85.61,Action (1),"Action (1) Adventure (25) Indie (23) RPG (3)",Shirakumo Games,Shirakumo Games,SDK.OpenSSL; SDK.Vorbis,2/15/2023,96,1,2,26,1/12/2023
123,Juno: New Origins,/app/870200/,1/26/2023,780,1953,229,2182,85.6,Simulation (28),"Indie (23) Simulation (28)",Jundroo LLC,Jundroo LLC,Engine.Unity; SDK.SteamworksNET; SDK.UnityBurst; SDK.cURL,1/25/2023,89,128,134,780,1/29/2023
124,Hell Of An Office,/app/1640890/,3/14/2023,26,76,1,77,85.58,Action (1),"Action (1) Indie (23) Early Access (70)",Joystick Ventures,43 Studios,Engine.Unreal; SDK.FMOD; SDK.NVIDIA_APEX; SDK.NVIDIA_Nsight_Aftermath; SDK.NVIDIA_PhysX; SDK.Vorbis; SDK.XAudio2,3/17/2023,98,1,4,26,3/14/2023
125,Confabulation,/app/2246400/,1/13/2023,13,61,0,61,85.57,Indie (23),"Adventure (25) Casual (4) Indie (23)",Authogin,Authogin,Engine.Unity; SDK.UnityBurst; SDK.UnityHDRP; SDK.cURL,12/30/2022,100,0,4,13,2/19/2023
126,Good Pizza Great Pizza,/app/770810/,1/6/2023,145,1453,164,1617,85.55,Simulation (28),"Casual (4) Indie (23) Simulation (28)",TapBlaze,TapBlaze,Engine.Cocos; SDK.Discord; SDK.OpenAL; SDK.Vorbis; SDK.cURL,4/3/2023,89,80,80,145,2/12/2023
127,Lords of Infinity,/app/2169120/,3/2/2023,270,114,4,118,85.55,Indie (23),"Casual (4) Indie (23) RPG (3)",Hosted Games,Hosted Games,Container.Electron,12/7/2022,96,8,15,270,3/2/2023
